lon,lat,chl,nitrate,phosphate,iron
39.541666666666664,-5.375,0.239645,0.119192,0.220623,3.66e-4
39.45833333333333,-4.708333333333333,0.249224,0.1131,0.220043,3.88e-4
39.20833333333333,-5.458333333333333,0.25943,0.064018,0.210005,7.97e-4
39.875,-4.958333333333333,0.189183,0.14255,0.226988,1.69e-4
39.125,-5.041666666666666,0.27857,0.092593,0.213775,5.9e-4
39.375,-4.625,0.254358,0.102923,0.218502,4.36e-4
39.875,-5.125,0.187555,0.133407,0.226052,1.69e-4
39.708333333333336,-5.458333333333333,0.216465,0.130981,0.223844,2.39e-4
39.125,-5.375,0.259043,0.064054,0.209495,8.51e-4
39.125,-5.458333333333333,0.256724,0.057374,0.208545,8.98e-4
39.45833333333333,-4.875,0.252535,0.114428,0.219786,3.94e-4
39.791666666666664,-4.791666666666666,0.208157,0.155271,0.227023,2.13e-4
39.958333333333336,-4.708333333333333,0.189549,0.151605,0.227863,1.58e-4
39.541666666666664,-4.791666666666666,0.246481,0.118645,0.220782,3.71e-4
39.375,-5.458333333333333,0.24909,0.095675,0.216585,5.16e-4
39.041666666666664,-5.208333333333333,0.269413,0.091645,0.213009,6.68e-4
39.625,-5.375,0.220301,0.12839,0.223361,2.6e-4
39.708333333333336,-5.541666666666666,0.209378,0.128699,0.223931,2.26e-4
39.625,-4.875,0.233068,0.136142,0.223367,3.01e-4
39.958333333333336,-5.541666666666666,0.178444,0.130235,0.225928,1.51e-4
39.791666666666664,-4.708333333333333,0.205524,0.160267,0.227626,2.01e-4
39.45833333333333,-5.291666666666666,0.242982,0.122608,0.220855,3.71e-4
39.291666666666664,-5.291666666666666,0.270152,0.102706,0.214974,5.74e-4
39.958333333333336,-5.291666666666666,0.176962,0.131893,0.226498,1.45e-4
39.375,-4.875,0.267814,0.10037,0.216935,4.64e-4
39.291666666666664,-5.541666666666666,0.255015,0.071618,0.211972,7.02e-4
39.20833333333333,-4.708333333333333,0.276269,0.066769,0.21303,5.69e-4
39.541666666666664,-5.458333333333333,0.230537,0.120235,0.221543,3.22e-4
39.625,-4.791666666666666,0.234588,0.129997,0.222864,3.29e-4
39.875,-5.458333333333333,0.19407,0.131237,0.225094,1.83e-4
39.875,-4.625,0.206112,0.153863,0.226988,2.02e-4
39.20833333333333,-4.791666666666666,0.27703,0.071421,0.213346,5.6e-4
39.708333333333336,-5.625,0.206773,0.125292,0.223615,2.27e-4
39.541666666666664,-5.291666666666666,0.240338,0.124288,0.22134,3.55e-4
39.791666666666664,-5.625,0.202366,0.126125,0.223942,2.15e-4
39.625,-5.625,0.219396,0.120811,0.222353,2.69e-4
39.708333333333336,-5.041666666666666,0.216627,0.138117,0.22486,2.48e-4
39.541666666666664,-4.875,0.24788,0.119872,0.22073,3.72e-4
39.875,-5.208333333333333,0.187851,0.133287,0.225999,1.69e-4
39.625,-5.125,0.233736,0.129172,0.222585,3.08e-4
39.45833333333333,-4.625,0.242739,0.115272,0.220867,3.79e-4
39.875,-4.708333333333333,0.202996,0.154078,0.227203,1.94e-4
39.708333333333336,-5.208333333333333,0.216675,0.132185,0.224198,2.46e-4
39.125,-4.958333333333333,0.278146,0.0978,0.215462,5.02e-4
39.708333333333336,-4.708333333333333,0.215692,0.153339,0.226373,2.44e-4
39.875,-5.541666666666666,0.193233,0.1305,0.225024,1.83e-4
39.125,-5.625,0.247066,0.037149,0.207033,0.001
38.95833333333333,-5.625,0.250547,0.033879,0.205474,0.001097
39.875,-5.291666666666666,0.188832,0.133379,0.225928,1.71e-4
39.791666666666664,-4.875,0.209917,0.14747,0.226192,2.22e-4
39.791666666666664,-5.125,0.20766,0.139234,0.225454,2.18e-4
39.125,-5.125,0.273423,0.0982,0.214057,6.08e-4
39.625,-5.041666666666666,0.236109,0.13239,0.222813,3.12e-4
39.791666666666664,-4.625,0.215068,0.150821,0.226159,2.4e-4
39.541666666666664,-5.541666666666666,0.230173,0.118757,0.221366,3.26e-4
39.875,-5.041666666666666,0.188654,0.140634,0.226829,1.69e-4
39.291666666666664,-4.958333333333333,0.282187,0.100344,0.215249,5.02e-4
39.45833333333333,-5.041666666666666,0.257686,0.115165,0.219423,4.06e-4
39.291666666666664,-5.208333333333333,0.272372,0.112471,0.21675,4.93e-4
39.45833333333333,-5.458333333333333,0.23913,0.11702,0.220397,3.67e-4
39.125,-5.291666666666666,0.267969,0.091751,0.21308,6.62e-4
39.375,-5.125,0.263395,0.114515,0.21808,4.47e-4
39.791666666666664,-5.458333333333333,0.203429,0.132542,0.224725,2.01e-4
39.041666666666664,-5.291666666666666,0.267137,0.074666,0.210199,8.12e-4
39.20833333333333,-5.041666666666666,0.283251,0.102007,0.215233,5.05e-4
39.125,-4.875,0.276329,0.091949,0.21518,5.09e-4
39.791666666666664,-5.541666666666666,0.205933,0.129335,0.224188,2.16e-4
39.958333333333336,-5.041666666666666,0.177841,0.138351,0.22726,1.43e-4
39.291666666666664,-4.625,0.260341,0.092473,0.21694,4.74e-4
39.375,-5.291666666666666,0.259626,0.113487,0.218106,4.52e-4
39.375,-4.708333333333333,0.257255,0.099365,0.217908,4.46e-4
39.375,-5.375,0.251007,0.100338,0.217054,5e-4
39.125,-5.541666666666666,0.254854,0.053098,0.20821,9.19e-4
38.95833333333333,-5.541666666666666,0.25233,0.035634,0.204454,0.001131
39.625,-4.958333333333333,0.235226,0.133621,0.222997,3.09e-4
39.375,-4.791666666666666,0.2589,0.100108,0.217806,4.47e-4
39.291666666666664,-5.041666666666666,0.280439,0.103739,0.215716,4.93e-4
39.958333333333336,-5.208333333333333,0.17808,0.132658,0.226555,1.45e-4
39.291666666666664,-5.458333333333333,0.257364,0.076692,0.212331,6.87e-4
39.625,-5.541666666666666,0.227097,0.120365,0.221711,3.12e-4
39.708333333333336,-5.125,0.212952,0.138895,0.225122,2.34e-4
39.375,-4.958333333333333,0.268534,0.105558,0.217296,4.56e-4
39.625,-5.208333333333333,0.232611,0.129627,0.222684,3.04e-4
39.708333333333336,-5.291666666666666,0.21546,0.132192,0.224193,2.41e-4
39.20833333333333,-5.125,0.278229,0.10094499999999999,0.215221,5.25e-4
39.20833333333333,-5.375,0.259247,0.081965,0.212657,6.91e-4
39.791666666666664,-4.958333333333333,0.204462,0.142884,0.226051,2.08e-4
39.958333333333336,-4.958333333333333,0.17977,0.140462,0.227383,1.44e-4
39.041666666666664,-5.375,0.263862,0.054637,0.207169,9.55e-4
39.125,-5.208333333333333,0.271774,0.096489,0.213752,6.29e-4
39.20833333333333,-5.625,0.247507,0.051777,0.209722,8.47e-4
39.041666666666664,-5.625,0.250982,0.034971,0.205773,0.001075
39.45833333333333,-5.125,0.254329,0.12267,0.22024,3.82e-4
39.375,-5.541666666666666,0.247657,0.091624,0.216231,5.3e-4
39.20833333333333,-4.958333333333333,0.284863,0.098581,0.214778,5.14e-4
39.45833333333333,-5.625,0.233635,0.097769,0.218354,4.42e-4
39.041666666666664,-5.541666666666666,0.252982,0.037265,0.204845,0.001106
39.291666666666664,-4.708333333333333,0.268711,0.074734,0.214506,5.32e-4
39.541666666666664,-4.625,0.239601,0.121003,0.221668,3.6e-4
39.708333333333336,-4.791666666666666,0.211543,0.154163,0.226712,2.24e-4
39.791666666666664,-5.375,0.207318,0.13238,0.22453,2.14e-4
39.375,-5.208333333333333,0.261331,0.114939,0.218219,4.47e-4
39.958333333333336,-4.791666666666666,0.181574,0.149895,0.228213,1.41e-4
39.875,-5.375,0.183496,0.130629,0.225731,1.61e-4
39.20833333333333,-5.291666666666666,0.271969,0.099689,0.214238,6.04e-4
39.958333333333336,-5.375,0.173024,0.130511,0.226493,1.42e-4
39.541666666666664,-5.041666666666666,0.248142,0.128223,0.221514,3.56e-4
39.45833333333333,-5.541666666666666,0.235638,0.105824,0.219308,4.15e-4
39.45833333333333,-5.375,0.242824,0.116585,0.219965,3.89e-4
38.95833333333333,-5.458333333333333,0.25335,0.036966,0.20415,0.00114
39.625,-4.708333333333333,0.225088,0.140647,0.224606,2.8e-4
39.541666666666664,-4.708333333333333,0.240712,0.121557,0.221681,3.5e-4
39.541666666666664,-5.208333333333333,0.243767,0.127718,0.221662,3.41e-4
39.541666666666664,-4.958333333333333,0.247233,0.122037,0.221136,3.63e-4
39.875,-4.791666666666666,0.201585,0.153131,0.2272,1.91e-4
39.958333333333336,-4.625,0.190716,0.156796,0.228314,1.62e-4
39.541666666666664,-5.625,0.230863,0.103525,0.219325,4.02e-4
39.958333333333336,-5.458333333333333,0.179249,0.1311,0.226002,1.51e-4
39.625,-5.458333333333333,0.219801,0.12786,0.223312,2.57e-4
39.375,-5.041666666666666,0.26814,0.108593,0.217572,4.51e-4
39.291666666666664,-5.375,0.257701,0.08688,0.213735,6.44e-4
39.375,-5.625,0.23736,0.086175,0.216451,5.18e-4
39.20833333333333,-5.208333333333333,0.276039,0.103729,0.214675,5.84e-4
39.958333333333336,-5.625,0.168662,0.125909,0.226039,1.44e-4
39.708333333333336,-4.625,0.218324,0.148091,0.225701,2.54e-4
39.291666666666664,-5.625,0.246428,0.057665,0.210926,7.86e-4
39.541666666666664,-5.125,0.251341,0.123778,0.220684,3.7e-4
39.291666666666664,-4.875,0.274776,0.093039,0.215478,5.01e-4
39.291666666666664,-4.791666666666666,0.274717,0.074852,0.213916,5.46e-4
39.45833333333333,-4.958333333333333,0.257102,0.114201,0.219448,4.05e-4
39.291666666666664,-5.125,0.27553,0.102946,0.215739,5.11e-4
39.958333333333336,-5.125,0.173499,0.133755,0.227027,1.36e-4
39.875,-5.625,0.185228,0.125843,0.224705,1.76e-4
39.958333333333336,-4.875,0.178653,0.143959,0.227826,1.41e-4
39.20833333333333,-4.875,0.277456,0.090354,0.214925,5.15e-4
39.625,-4.625,0.226429,0.138227,0.224298,2.9e-4
39.041666666666664,-5.458333333333333,0.254406,0.045977,0.205653,0.001057
39.20833333333333,-5.541666666666666,0.256998,0.059607,0.209624,8.24e-4
39.45833333333333,-4.791666666666666,0.250603,0.112911,0.21988,3.92e-4
39.875,-4.875,0.190053,0.145825,0.227254,1.69e-4
